,geometry,nIDC,nBLDG,heated_area,footprint_area,idc_norm,idc_norm_foot,idc_abs
428,"POLYGON ((2504116.516280934 1134019.580769348, 2504116.516280934 1134119.580769348, 2504016.516280934 1134119.580769348, 2504016.516280934 1134019.580769348, 2504116.516280934 1134019.580769348))",1.0,12.0,318.06195033099056,100.47771262799156,0.1391666666666666,0.4405317384656673,44.26362142106285
429,"POLYGON ((2504220.059264591 1134019.580769348, 2504220.059264591 1134119.580769348, 2504120.059264591 1134119.580769348, 2504120.059264591 1134019.580769348, 2504220.059264591 1134019.580769348))",1.0,28.0,484.90644419914446,193.94730065599555,0.1452777777777777,0.363223052886547,70.44613064337571
430,"POLYGON ((2504323.602248249 1134019.580769348, 2504323.602248249 1134119.580769348, 2504223.602248249 1134119.580769348, 2504223.602248249 1134019.580769348, 2504323.602248249 1134019.580769348))",3.0,30.0,1260.4865817172986,359.0171588735245,0.0932219184607488,0.3296681656351138,118.35652819736504
948,"POLYGON ((2504737.77418288 1133812.749928478, 2504737.77418288 1133912.749928478, 2504637.77418288 1133912.749928478, 2504637.77418288 1133812.749928478, 2504737.77418288 1133812.749928478))",2.0,3.0,471.15460402655617,251.75553606360717,0.143248875140447,0.2680765357394073,67.48975196114922
1205,"POLYGON ((2504737.77418288 1133709.334508043, 2504737.77418288 1133809.334508043, 2504637.77418288 1133809.334508043, 2504637.77418288 1133709.334508043, 2504737.77418288 1133709.334508043))",2.0,5.0,382.62976885040615,207.3373194458725,0.1432939924067623,0.2644354224824499,54.82733166404798
11168,"POLYGON ((2498525.195163424 1129676.133111087, 2498525.195163424 1129776.133111087, 2498425.195163424 1129776.133111087, 2498425.195163424 1129676.133111087, 2498525.195163424 1129676.133111087))",1.0,6.0,178.0,81.75461176282435,0.1002777777777777,0.218329511443671,17.849444444444444
11948,"POLYGON ((2499457.082016342 1129365.886849783, 2499457.082016342 1129465.886849783, 2499357.082016342 1129465.886849783, 2499357.082016342 1129365.886849783, 2499457.082016342 1129365.886849783))",1.0,1.0,979.7726944887828,541.1605689921361,0.1725,0.3123117231436185,169.01078979931506
12206,"POLYGON ((2499560.625 1129262.471429348, 2499560.625 1129362.471429348, 2499460.625 1129362.471429348, 2499460.625 1129262.471429348, 2499560.625 1129262.471429348))",1.0,3.0,266.11875817996,146.9861115810026,0.1725,0.3123117231436184,45.90548578604309
13828,"POLYGON ((2507844.063692607 1128641.978906739, 2507844.063692607 1128741.978906739, 2507744.063692607 1128741.978906739, 2507744.063692607 1128641.978906739, 2507844.063692607 1128641.978906739))",1.0,19.0,1320.0,612.3950742216986,0.1761111111111111,0.3796024436710432,232.46666666666667
14086,"POLYGON ((2507947.606676265 1128538.563486304, 2507947.606676265 1128638.563486304, 2507847.606676265 1128638.563486304, 2507847.606676265 1128538.563486304, 2507947.606676265 1128538.563486304))",2.0,62.0,787.7908676054076,258.28649537555106,0.1552858709596761,0.465522141014451,120.23808232234563
14085,"POLYGON ((2507844.063692607 1128538.563486304, 2507844.063692607 1128638.563486304, 2507744.063692607 1128638.563486304, 2507744.063692607 1128538.563486304, 2507844.063692607 1128538.563486304))",1.0,27.0,617.5,257.72234245743255,0.085,0.2036590987786371,52.4875
14087,"POLYGON ((2508051.149659921 1128538.563486304, 2508051.149659921 1128638.563486304, 2507951.149659921 1128638.563486304, 2507951.149659921 1128538.563486304, 2508051.149659921 1128538.563486304))",3.0,54.0,1009.6,437.5882693497641,0.1394245911283745,0.3458789778762494,151.35258333333334
14088,"POLYGON ((2508154.69264358 1128538.563486304, 2508154.69264358 1128638.563486304, 2508054.69264358 1128638.563486304, 2508054.69264358 1128538.563486304, 2508154.69264358 1128538.563486304))",1.0,24.0,205.0,204.60176501943045,0.1288888888888889,0.1291397570285524,26.42222222222222
14344,"POLYGON ((2508051.149659921 1128435.14806587, 2508051.149659921 1128535.14806587, 2507951.149659921 1128535.14806587, 2507951.149659921 1128435.14806587, 2508051.149659921 1128435.14806587))",3.0,29.0,1367.69768002912,481.0728376526886,0.1426677352584016,0.420000532402953,202.0508479387286
14601,"POLYGON ((2508051.149659921 1128331.732645435, 2508051.149659921 1128431.732645435, 2507951.149659921 1128431.732645435, 2507951.149659921 1128331.732645435, 2508051.149659921 1128331.732645435))",1.0,5.0,763.0,283.8240284224749,0.1441666666666666,0.3875611493433241,109.99916666666668
15305,"POLYGON ((2501113.769754864 1128021.48638413, 2501113.769754864 1128121.48638413, 2501013.769754864 1128121.48638413, 2501013.769754864 1128021.48638413, 2501113.769754864 1128021.48638413))",1.0,1.0,2648.4788200095763,2736.691621347067,0.1266666666666666,0.1225837727755204,335.47398386787967
15562,"POLYGON ((2501113.769754864 1127918.070963696, 2501113.769754864 1128018.070963696, 2501013.769754864 1128018.070963696, 2501013.769754864 1127918.070963696, 2501113.769754864 1127918.070963696))",1.0,1.0,489.7412102080615,506.0530054002578,0.1266666666666666,0.1225837727755205,62.03388662635446
15627,"POLYGON ((2507844.063692607 1127918.070963696, 2507844.063692607 1128018.070963696, 2507744.063692607 1128018.070963696, 2507744.063692607 1127918.070963696, 2507844.063692607 1127918.070963696))",1.0,1.0,1036.0602643409163,241.18069319264416,0.1177777777777777,0.5059479428581883,122.0248755779302
15628,"POLYGON ((2507947.606676265 1127918.070963696, 2507947.606676265 1128018.070963696, 2507847.606676265 1128018.070963696, 2507847.606676265 1127918.070963696, 2507947.606676265 1127918.070963696))",1.0,7.0,583.4232015234554,348.3380452282193,0.1347222222222222,0.2256430822930845,78.6000702052433
