,geometry,nIDC,nBLDG,heated_area,footprint_area,idc_norm,idc_norm_foot,idc_abs
2998,"POLYGON ((2497700 1120900, 2498000 1120900, 2498000 1121200, 2497700 1121200, 2497700 1120900))",1.0,51.0,5872.395460696295,6472.688442630122,0.0775,0.07031246015280669,455.11064820396285
2999,"POLYGON ((2497700 1121200, 2498000 1121200, 2498000 1121500, 2497700 1121500, 2497700 1121200))",4.0,18.0,26374.632808970306,22662.95481283773,0.08743987693388901,0.11382526006394653,2579.616725388723
3000,"POLYGON ((2497700 1121500, 2498000 1121500, 2498000 1121800, 2497700 1121800, 2497700 1121500))",2.0,4.0,5000.872755730562,2244.9573043419005,0.14394096342938828,0.32028024108300984,719.0154666556878
3014,"POLYGON ((2497700 1125700, 2498000 1125700, 2498000 1126000, 2497700 1126000, 2497700 1125700))",1.0,29.0,918.0,284.0184362767369,0.04027777777777778,0.13018521080783976,36.975
3015,"POLYGON ((2497700 1126000, 2498000 1126000, 2498000 1126300, 2497700 1126300, 2497700 1126000))",2.0,111.0,1409.0,560.5632289150589,0.1163746567958513,0.2904880949105544,162.83694444444444
3016,"POLYGON ((2497700 1126300, 2498000 1126300, 2498000 1126600, 2497700 1126600, 2497700 1126300))",0.0,15.0,0.0,0.0,,,0.0
3017,"POLYGON ((2497700 1126600, 2498000 1126600, 2498000 1126900, 2497700 1126900, 2497700 1126600))",0.0,7.0,0.0,0.0,,,0.0
3018,"POLYGON ((2497700 1126900, 2498000 1126900, 2498000 1127200, 2497700 1127200, 2497700 1126900))",0.0,2.0,0.0,0.0,,,0.0
3019,"POLYGON ((2497700 1127200, 2498000 1127200, 2498000 1127500, 2497700 1127500, 2497700 1127200))",0.0,1.0,0.0,0.0,,,0.0
3044,"POLYGON ((2498000 1111300, 2498300 1111300, 2498300 1111600, 2498000 1111600, 2498000 1111300))",0.0,58.0,0.0,0.0,,,0.0
3045,"POLYGON ((2498000 1111600, 2498300 1111600, 2498300 1111900, 2498000 1111900, 2498000 1111600))",1.0,15.0,283.0,284.31669830251883,0.39166666666666666,0.38985282021222983,110.84166666666667
3046,"POLYGON ((2498000 1111900, 2498300 1111900, 2498300 1112200, 2498000 1112200, 2498000 1111900))",2.0,15.0,2564.0,773.654667103742,0.14940142984412164,0.4941725360749649,382.31888888888886
3047,"POLYGON ((2498000 1112200, 2498300 1112200, 2498300 1112500, 2498000 1112500, 2498000 1112200))",0.0,3.0,0.0,0.0,,,0.0
3048,"POLYGON ((2498000 1112500, 2498300 1112500, 2498300 1112800, 2498000 1112800, 2498000 1112500))",0.0,5.0,0.0,0.0,,,0.0
3049,"POLYGON ((2498000 1112800, 2498300 1112800, 2498300 1113100, 2498000 1113100, 2498000 1112800))",0.0,6.0,0.0,0.0,,,0.0
3050,"POLYGON ((2498000 1113100, 2498300 1113100, 2498300 1113400, 2498000 1113400, 2498000 1113100))",0.0,18.0,0.0,0.0,,,0.0
3051,"POLYGON ((2498000 1113400, 2498300 1113400, 2498300 1113700, 2498000 1113700, 2498000 1113400))",15.0,65.0,26829.869979066927,8246.695884786477,0.1319970548765415,0.3871244524450005,3192.497628878404
3052,"POLYGON ((2498000 1113700, 2498300 1113700, 2498300 1114000, 2498000 1114000, 2498000 1113700))",40.0,101.0,48729.13182173738,14124.155902741617,0.11432603801542125,0.3944182132667207,5570.824335059955
3053,"POLYGON ((2498000 1114000, 2498300 1114000, 2498300 1114300, 2498000 1114300, 2498000 1114000))",4.0,214.0,3137.535423184773,1048.6228353383067,0.16718604451847655,0.5017408599493708,526.1369231651894
3054,"POLYGON ((2498000 1114300, 2498300 1114300, 2498300 1114600, 2498000 1114600, 2498000 1114300))",32.0,146.0,51082.378457803905,10433.785260656266,0.1239214219022652,0.6517149996114051,6799.854357094083
3055,"POLYGON ((2498000 1114600, 2498300 1114600, 2498300 1114900, 2498000 1114900, 2498000 1114600))",35.0,106.0,65014.33411562831,9484.693901717847,0.13493541277107898,0.9188976731967878,8715.463157272292
3056,"POLYGON ((2498000 1114900, 2498300 1114900, 2498300 1115200, 2498000 1115200, 2498000 1114900))",38.0,96.0,60797.78299238554,10796.359872751415,0.1378423097369209,0.7652611831174051,8262.035129583024
3057,"POLYGON ((2498000 1115200, 2498300 1115200, 2498300 1115500, 2498000 1115500, 2498000 1115200))",51.0,96.0,41235.23282243407,12184.852464455364,0.12893290180714617,0.421316105347914,5133.674584563266
