,idc_abs,heated_area,geometry
64,1.6441430573463436,10.850122451782227,POINT (2492987.417029572 1134172.996189783)
65,3.272911655902862,21.89427947998047,POINT (2493090.960013229 1134172.996189783)
66,7.794596318244933,47.747291564941406,POINT (2493194.502996887 1134172.996189783)
67,83.75576593780515,367.7899169921875,POINT (2493298.045980545 1134172.996189783)
68,26.26990882110595,111.11844635009764,POINT (2493401.588964202 1134172.996189783)
70,10.904437609672545,52.25471878051758,POINT (2493608.674931518 1134172.996189783)
71,43.77807582092285,207.81527709960935,POINT (2493712.217915175 1134172.996189783)
72,57.452113021850586,240.22267150878903,POINT (2493815.760898833 1134172.996189783)
90,27.67109101867675,163.68740844726562,POINT (2495679.534604669 1134172.996189783)
91,60.058733833312985,348.3388366699219,POINT (2495783.077588327 1134172.996189783)
92,36.28535591888428,202.4912109375,POINT (2495886.620571984 1134172.996189783)
96,45.270981868743895,188.4840850830078,POINT (2496300.792506615 1134172.996189783)
97,23.28903922843933,97.56414794921876,POINT (2496404.335490272 1134172.996189783)
124,79.89102741241454,484.4127502441406,POINT (2499199.996049027 1134172.996189783)
125,108.55464670562743,662.8728637695312,POINT (2499303.539032685 1134172.996189783)
126,98.5866803817749,605.3024291992188,POINT (2499407.082016342 1134172.996189783)
127,192.00828756713867,916.7879028320312,POINT (2499510.625 1134172.996189783)
128,205.57570587158202,965.506103515625,POINT (2499614.167983658 1134172.996189783)
129,172.57386650085448,816.4729614257811,POINT (2499717.710967316 1134172.996189783)
130,202.97438162231444,983.5684204101561,POINT (2499821.253950973 1134172.996189783)
131,182.85717065429688,885.33544921875,POINT (2499924.79693463 1134172.996189783)
132,178.9443291931152,804.3541870117188,POINT (2500028.339918288 1134172.996189783)
133,72.33379914855956,332.8468017578125,POINT (2500131.882901946 1134172.996189783)
134,86.71079739379881,417.4518737792969,POINT (2500235.425885604 1134172.996189783)
135,32.490004814147945,158.97821044921875,POINT (2500338.968869261 1134172.996189783)
137,7.030192184925079,36.12889099121094,POINT (2500546.054836576 1134172.996189783)
138,1.390397333741188,7.181104183197021,POINT (2500649.597820233 1134172.996189783)
144,0.7767974851131437,4.669952869415283,POINT (2501270.855722179 1134172.996189783)
145,8.624991052627562,40.50338745117188,POINT (2501374.398705836 1134172.996189783)
149,3.374104032039642,34.46269607543945,POINT (2501788.570640467 1134172.996189783)
150,318.16300112915036,2479.857666015625,POINT (2501892.113624124 1134172.996189783)
151,592.7186116333007,4803.26953125,POINT (2501995.656607782 1134172.996189783)
152,501.7791437683105,4053.740478515625,POINT (2502099.19959144 1134172.996189783)
153,283.99753897094723,2268.058837890625,POINT (2502202.742575097 1134172.996189783)
165,99.3961620864868,987.4818115234376,POINT (2503445.258378988 1134172.996189783)
169,7.632399333953857,57.63484191894531,POINT (2503859.430313619 1134172.996189783)
170,43.16064156723022,366.8298034667969,POINT (2503962.973297276 1134172.996189783)
171,255.14591218566895,1988.8466796875,POINT (2504066.516280934 1134172.996189783)
172,18.718758914947507,127.54498291015624,POINT (2504170.059264591 1134172.996189783)
173,12.508804774284362,104.28116607666016,POINT (2504273.602248249 1134172.996189783)
185,85.4686839752197,803.3102416992188,POINT (2505516.11805214 1134172.996189783)
186,40.398680854797355,336.0101623535156,POINT (2505619.661035797 1134172.996189783)
238,5.445839599132539,38.773738861083984,POINT (2511003.896185992 1134172.996189783)
239,15.773610418319702,108.21035766601562,POINT (2511107.439169649 1134172.996189783)
240,9.500871140480042,68.84991455078125,POINT (2511210.982153307 1134172.996189783)
242,7.263403625011444,42.25453948974609,POINT (2511418.068120623 1134172.996189783)
243,4.438974996089936,25.036815643310543,POINT (2511521.61110428 1134172.996189783)
244,157.93467614746092,844.0535278320312,POINT (2511625.154087937 1134172.996189783)
245,234.98914482116697,1254.2481689453125,POINT (2511728.697071595 1134172.996189783)
246,144.98421319580078,732.887451171875,POINT (2511832.240055253 1134172.996189783)
247,132.16124430847165,657.167724609375,POINT (2511935.78303891 1134172.996189783)
248,1.5596772931814193,8.975164413452147,POINT (2512039.326022568 1134172.996189783)
249,3.78445201587677,25.739643096923828,POINT (2512142.869006225 1134172.996189783)
250,20.76864923286438,125.09528350830078,POINT (2512246.411989883 1134172.996189783)
251,108.76546134185789,537.2550048828125,POINT (2512349.954973541 1134172.996189783)
253,64.90157220840454,320.67239379882807,POINT (2512557.040940856 1134172.996189783)
254,2.2913679151535034,14.484580993652344,POINT (2512660.583924513 1134172.996189783)
255,133.1555899505615,747.8507080078125,POINT (2512764.126908171 1134172.996189783)
317,13.78534687042236,70.01112365722656,POINT (2492573.245094941 1134069.580769348)
318,5.200465815544129,26.15985870361328,POINT (2492676.788078599 1134069.580769348)
321,4.0145894851684565,26.90177536010742,POINT (2492987.417029572 1134069.580769348)
322,29.9710228691101,184.77154541015625,POINT (2493090.960013229 1134069.580769348)
323,51.875655757904056,319.1261291503906,POINT (2493194.502996887 1134069.580769348)
324,32.250965723037716,170.6242523193359,POINT (2493298.045980545 1134069.580769348)
325,47.918301071167,251.23419189453125,POINT (2493401.588964202 1134069.580769348)
326,32.4217921333313,172.38516235351562,POINT (2493505.13194786 1134069.580769348)
328,87.03811183929443,383.84475708007807,POINT (2493712.217915175 1134069.580769348)
329,77.92563445281984,458.8790283203125,POINT (2493815.760898833 1134069.580769348)
330,79.57726954650879,474.1680908203125,POINT (2493919.30388249 1134069.580769348)
337,5.368891069889068,25.28608703613281,POINT (2494644.104768094 1134069.580769348)
347,82.92705451965331,443.2737426757813,POINT (2495679.534604669 1134069.580769348)
348,200.74910510253906,1075.439697265625,POINT (2495783.077588327 1134069.580769348)
349,146.40305332946778,725.8800659179686,POINT (2495886.620571984 1134069.580769348)
352,137.6609423522949,590.617919921875,POINT (2496197.249522957 1134069.580769348)
353,82.87573435211179,351.1037902832031,POINT (2496300.792506615 1134069.580769348)
354,42.15692665863037,178.061767578125,POINT (2496404.335490272 1134069.580769348)
379,86.55741812133789,385.9518432617188,POINT (2498992.910081712 1134069.580769348)
380,50.09298600769043,224.98329162597656,POINT (2499096.45306537 1134069.580769348)
381,171.52717739868163,778.3292846679686,POINT (2499199.996049027 1134069.580769348)
382,335.71241909790035,1572.342041015625,POINT (2499303.539032685 1134069.580769348)
383,142.18333871459959,667.9475708007812,POINT (2499407.082016342 1134069.580769348)
384,194.35082522583002,921.57080078125,POINT (2499510.625 1134069.580769348)
